시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,중구,일반,여자,65-69세,51 ,1 ,0 ,6 ,8 ,1 ,1 ,7 ,3 ,4 
서울,중구,일반,여자,70-74세,89 ,0 ,4 ,14 ,14 ,5 ,1 ,12 ,7 ,3 
서울,중구,일반,여자,75-79세,193 ,5 ,5 ,25 ,37 ,20 ,10 ,14 ,7 ,8 
서울,중구,일반,여자,80-84세,275 ,5 ,16 ,45 ,90 ,33 ,7 ,10 ,10 ,6 
서울,중구,일반,여자,85세이상,420 ,23 ,43 ,113 ,124 ,33 ,4 ,15 ,7 ,6 
서울,중구,기초,남자,65세미만,23 ,2 ,2 ,4 ,3 ,0 ,0 ,2 ,3 ,1 
서울,중구,기초,남자,65-69세,26 ,1 ,0 ,2 ,10 ,1 ,0 ,4 ,0 ,3 
서울,중구,기초,남자,70-74세,24 ,0 ,0 ,2 ,10 ,2 ,2 ,1 ,0 ,3 
서울,중구,기초,남자,75-79세,28 ,1 ,0 ,8 ,2 ,2 ,3 ,3 ,3 ,1 
서울,중구,기초,남자,80-84세,27 ,0 ,2 ,1 ,9 ,3 ,0 ,3 ,1 ,1 
서울,중구,기초,남자,85세이상,11 ,0 ,0 ,1 ,5 ,1 ,1 ,0 ,0 ,0 
서울,중구,기초,여자,65세미만,5 ,1 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
서울,중구,기초,여자,65-69세,31 ,0 ,1 ,4 ,6 ,0 ,0 ,5 ,4 ,4 
서울,중구,기초,여자,70-74세,37 ,1 ,1 ,3 ,13 ,5 ,1 ,3 ,2 ,1 
서울,중구,기초,여자,75-79세,45 ,0 ,2 ,4 ,12 ,8 ,1 ,3 ,4 ,0 
서울,중구,기초,여자,80-84세,73 ,0 ,2 ,7 ,38 ,7 ,0 ,4 ,6 ,1 
서울,중구,기초,여자,85세이상,92 ,4 ,7 ,31 ,34 ,6 ,3 ,4 ,3 ,0 
서울,중구,의료,남자,70-74세,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,중구,의료,남자,75-79세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,중구,의료,남자,80-84세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,중구,의료,남자,85세이상,3 ,0 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 
서울,중구,의료,여자,70-74세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울,중구,의료,여자,75-79세,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
서울,중구,의료,여자,80-84세,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
서울,중구,의료,여자,85세이상,9 ,1 ,1 ,3 ,0 ,1 ,0 ,1 ,0 ,0 
서울,중구,감경,남자,65세미만,5 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 
서울,중구,감경,남자,65-69세,21 ,4 ,0 ,3 ,9 ,1 ,1 ,1 ,0 ,0 
서울,중구,감경,남자,70-74세,25 ,1 ,1 ,14 ,3 ,1 ,1 ,0 ,1 ,1 
서울,중구,감경,남자,75-79세,47 ,2 ,2 ,12 ,17 ,6 ,6 ,1 ,0 ,0 
서울,중구,감경,남자,80-84세,41 ,2 ,5 ,11 ,14 ,6 ,2 ,0 ,0 ,0 
서울,중구,감경,남자,85세이상,48 ,1 ,4 ,13 ,24 ,4 ,1 ,0 ,0 ,0 
서울,중구,감경,여자,65세미만,5 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
서울,중구,감경,여자,65-69세,13 ,2 ,1 ,5 ,2 ,2 ,0 ,0 ,0 ,1 
서울,중구,감경,여자,70-74세,31 ,0 ,5 ,6 ,10 ,1 ,1 ,2 ,1 ,0 
서울,중구,감경,여자,75-79세,41 ,1 ,1 ,11 ,15 ,3 ,0 ,2 ,1 ,1 
서울,중구,감경,여자,80-84세,119 ,2 ,6 ,32 ,48 ,13 ,5 ,1 ,2 ,1 
서울,중구,감경,여자,85세이상,196 ,13 ,22 ,69 ,70 ,13 ,3 ,3 ,0 ,0 
서울,용산구,일반,남자,65세미만,26 ,2 ,1 ,5 ,2 ,0 ,0 ,6 ,2 ,1 
서울,용산구,일반,남자,65-69세,49 ,1 ,2 ,14 ,13 ,0 ,2 ,3 ,3 ,0 
서울,용산구,일반,남자,70-74세,73 ,2 ,4 ,19 ,23 ,4 ,0 ,6 ,2 ,0 
서울,용산구,일반,남자,75-79세,120 ,5 ,10 ,26 ,29 ,7 ,2 ,6 ,2 ,4 
서울,용산구,일반,남자,80-84세,193 ,4 ,19 ,49 ,58 ,13 ,6 ,5 ,6 ,4 
서울,용산구,일반,남자,85세이상,291 ,13 ,38 ,79 ,97 ,10 ,4 ,11 ,5 ,4 
서울,용산구,일반,여자,65세미만,26 ,2 ,0 ,6 ,5 ,1 ,0 ,5 ,1 ,2 
서울,용산구,일반,여자,65-69세,55 ,2 ,1 ,10 ,14 ,0 ,0 ,6 ,3 ,1 
서울,용산구,일반,여자,70-74세,128 ,4 ,6 ,20 ,22 ,11 ,1 ,11 ,8 ,4 
서울,용산구,일반,여자,75-79세,245 ,7 ,12 ,37 ,60 ,18 ,2 ,12 ,13 ,4 
서울,용산구,일반,여자,80-84세,502 ,18 ,30 ,110 ,167 ,40 ,9 ,28 ,13 ,5 
서울,용산구,일반,여자,85세이상,815 ,30 ,115 ,222 ,277 ,38 ,10 ,27 ,9 ,1 
서울,용산구,기초,남자,65세미만,25 ,1 ,3 ,5 ,2 ,1 ,0 ,3 ,1 ,2 
서울,용산구,기초,남자,65-69세,39 ,1 ,0 ,5 ,8 ,2 ,1 ,3 ,2 ,3 
서울,용산구,기초,남자,70-74세,28 ,0 ,0 ,7 ,8 ,3 ,0 ,1 ,2 ,0 
서울,용산구,기초,남자,75-79세,23 ,1 ,0 ,3 ,5 ,2 ,1 ,4 ,0 ,1 
서울,용산구,기초,남자,80-84세,24 ,1 ,2 ,8 ,6 ,0 ,1 ,0 ,1 ,0 
서울,용산구,기초,남자,85세이상,24 ,1 ,3 ,7 ,4 ,0 ,1 ,2 ,3 ,1 
서울,용산구,기초,여자,65세미만,13 ,1 ,2 ,2 ,3 ,0 ,2 ,1 ,0 ,1 
서울,용산구,기초,여자,65-69세,39 ,0 ,3 ,2 ,9 ,0 ,0 ,5 ,3 ,2 
서울,용산구,기초,여자,70-74세,34 ,0 ,0 ,6 ,7 ,1 ,0 ,2 ,5 ,0 
서울,용산구,기초,여자,75-79세,60 ,0 ,2 ,7 ,25 ,7 ,3 ,2 ,2 ,1 
